unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,geometry_source,support_endpoint_count,support_x_32719,support_y_32719,support_bbox_span_m,representation,tile_id,partition
158,44534,60760.293,43187,61992.0595,339009.330590628,6294716.78158045,1.0435399631057318,1794.708999387687,official_shapezona777,87721.0,338955.3926083834,6294780.769678868,2207.0,zona777,E22_N419,train
159,37646,57877.0892,35246,51912.3672,335399.2080345305,6292016.709348174,1.2985775201422185,1531.745410787058,official_shapezona777,72892.0,335467.9063408879,6291958.764363716,1737.0,zona777,E22_N419,train
16,19046,29397.643399999997,14398,21718.2974,342778.908116042,6305700.180435926,0.5180772395825134,1196.57120454486,official_shapezona777,33444.0,342789.3895168042,6305755.287346011,1482.0,zona777,E22_N420,validation
160,41791,63249.5228,46833,67861.07800000001,336436.4102315565,6292303.071763428,0.5991162633567034,1040.6320938561112,official_shapezona777,88624.0,336719.10883056506,6292227.876060661,1511.0,zona777,E22_N419,train
161,136698,188430.8793,148024,211214.703,337013.1203081763,6292178.921794808,0.5554401483489786,1153.31751535926,official_shapezona777,284722.0,336774.2590772754,6292260.656001292,1475.0,zona777,E22_N419,train
162,111192,170914.2915,129693,184502.981,337505.29590794886,6292545.048896468,0.5867259639616961,1428.105403731577,official_shapezona777,240885.0,337202.8746953941,6292947.26502688,1760.0,zona777,E22_N419,train
163,19199,28787.2818,22309,33047.86,337499.1565671113,6291412.137498994,0.6716344876263228,1172.2510793870315,official_shapezona777,41508.0,337483.4786306254,6290912.567866435,1689.0,zona777,E22_N419,train
164,30610,46435.2518,23671,35101.5395,337982.1057471973,6291356.201749576,0.4691628272363132,1471.1532306419683,official_shapezona777,54281.0,337845.94288977725,6291297.010887788,1857.0,zona777,E22_N419,train
165,72128,109861.4543,50640,74246.7739,335450.9418859304,6291285.6557624005,1.0923838021379175,1474.7128724383656,official_shapezona777,122768.0,335257.0177326339,6290946.702055911,1568.0,zona777,E22_N419,train
166,37535,58653.852199999994,45329,67349.5155,335227.3432876193,6290619.721146391,0.7834396626937474,1147.418482771085,official_shapezona777,82864.0,335195.1659224754,6290707.810846688,1548.0,zona777,E22_N419,train
167,20871,32828.8566,30675,44832.9434,335476.0260990027,6289687.550436728,0.7304188558785885,1504.575243846106,official_shapezona777,51546.0,335391.7550925387,6289812.953400846,1624.0,zona777,E22_N419,train
168,80670,118073.147,77045,116616.1832,336286.5286849915,6290260.895002919,1.1821004856515087,1314.882815087214,official_shapezona777,157715.0,336478.76479726087,6290432.704676156,1640.0,zona777,E22_N419,train
