unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation,tile_id,partition
87b2c542dffffff,654020,915015.8194,690854,994881.9567999997,337739.16128280497,6294107.401194317,4.465934285961794,2698.219859200646,h3_r7,E22_N419,train
87b2c542effffff,837,1285.1777000000002,669,1013.797,333691.180120303,6293959.964659185,4.4679802962258455,2699.0882207037066,h3_r7,E22_N419,train
87b2c5430ffffff,1454,2055.8050000000003,1292,1790.4821,325728.79135380324,6295876.993271925,4.473978931343464,2701.1917381671956,h3_r7,E21_N419,train
87b2c5431ffffff,4205,5936.1884,3690,5196.2987,327685.6374952359,6294844.572699973,4.472000767068225,2700.5738570131944,h3_r7,E21_N419,train
87b2c5435ffffff,30012,43334.2528,27438,38429.203199999996,327823.4226322542,6297056.782353761,4.473918849943916,2700.942392339988,h3_r7,E21_N419,train
87b2c5440ffffff,167071,247450.2678,139613,211973.3546,343179.5785900475,6284388.9717171425,4.454244700566309,2695.26006123313,h3_r7,E22_N418,train
87b2c5441ffffff,530856,776210.9564999997,495146,726374.9116000001,345130.89457844367,6283359.8989581745,4.452263081511307,2694.641646867036,h3_r7,E23_N418,validation
87b2c5442ffffff,30482,48737.4103,18555,28446.5222,341088.2809433406,6283210.814640279,4.454310022484333,2695.509730727528,h3_r7,E22_N418,train
87b2c5443ffffff,295421,443290.6261999999,261213,393414.98599999986,343039.93710110115,6282181.912293546,4.452329301007928,2694.8914254548145,h3_r7,E22_N418,train
87b2c5444ffffff,57934,87645.5691,49877,74056.9203,343319.2786217743,6286596.654364207,4.456159579139987,2695.6284661701648,h3_r7,E22_N419,train
87b2c5445ffffff,244228,352397.6927999999,224731,330392.6611,345270.8416705864,6285567.093947596,4.454177486924858,2695.0100054147188,h3_r7,E23_N419,train
87b2c5446ffffff,37326,59610.809400000006,20888,31317.4819,341227.67525488447,6285418.361815695,4.456225895255076,2695.8784129500855,h3_r7,E22_N419,train
87b2c5448ffffff,486,895.7796,160,243.8832,346941.48716454755,6280125.05928184,4.448366591504003,2693.654627964541,h3_r7,E23_N418,validation
87b2c5449ffffff,55476,98961.7682,39830,60060.6567,348891.38093040924,6279097.108429246,4.4463846088345536,2693.0361365164863,h3_r7,E23_N418,validation
87b2c544affffff,25453,40121.865,17998,27649.2895,344851.17554764077,6278947.378955334,4.448432714436937,2693.9042383949854,h3_r7,E22_N418,train
87b2c544bffffff,84,157.9144,16,26.084500000000002,346801.4094121406,6277919.598633971,4.44645162660207,2693.2858557326254,h3_r7,E23_N418,validation
87b2c544cffffff,91474,148015.0262,72580,108902.2101,347081.62314962596,6282331.143445045,4.450281040781563,2694.023170237895,h3_r7,E23_N418,validation
87b2c544dffffff,33213,54604.000100000005,22282,34012.4703,349031.7642335925,6281302.705084012,4.448298581052315,2693.404631730111,h3_r7,E23_N418,validation
87b2c544effffff,66929,100957.52769999999,33987,51644.3751,344991.00586488046,6281153.327205337,4.45034815645736,2694.273057738319,h3_r7,E22_N418,train
87b2c5454ffffff,0,0.0,1,1.7839,337183.20672866167,6285269.571484534,4.458270185453781,2696.7461524119135,h3_r7,E22_N419,train
87b2c5456ffffff,43185,64615.404599999994,41395,61170.8558,335091.1949678021,6284091.0386905065,4.458331813267406,2696.9952162386617,h3_r7,E22_N418,train
87b2c5458ffffff,23964,35753.9314,14951,23387.445699999997,340809.6685111392,6278797.5909875315,4.45047672076371,2694.7716744675417,h3_r7,E22_N418,train
87b2c5459ffffff,226903,323680.3756,206841,309183.01269999996,342760.8298214981,6277769.66418269,4.4484969497142846,2694.1534628479276,h3_r7,E22_N418,train
87b2c545affffff,494,844.0880000000001,437,719.8741,338718.9493198631,6277619.671165913,4.450538169126809,2695.020403354487,h3_r7,E22_N418,train
87b2c545bffffff,4808,8934.7309,3901,6424.1338,340670.450424782,6276591.91504213,4.448559297197535,2694.4023011595127,h3_r7,E22_N418,train
87b2c545cffffff,75051,128481.9674,74540,115170.8033,340948.94535636296,6281003.890942112,4.452393630088542,2695.140817776497,h3_r7,E22_N418,train
87b2c545dffffff,163187,239548.56290000008,148696,224375.38599999997,342900.3541724405,6279975.476360086,4.450413383163575,2694.522559205885,h3_r7,E22_N418,train
87b2c5460ffffff,810343,1145115.9245999998,813723,1171225.8447999994,345550.9109192184,6289983.35256744,4.458004728033483,2695.746029296075,h3_r7,E23_N419,train
87b2c5461ffffff,141639,214719.5612,118245,172923.3062,347502.3803206762,6288953.134364611,4.456021267967474,2695.127413644863,h3_r7,E23_N419,train
87b2c5462ffffff,90091,143032.3893,77420,116053.9967,343459.03717868146,6288804.959967314,4.458073934035277,2695.99663990282,h3_r7,E22_N419,train
87b2c5463ffffff,865016,1253817.5656000013,809227,1172828.7936999998,345410.8471234811,6287774.911906602,4.456091369998433,2695.3781330125057,h3_r7,E23_N419,train
87b2c5464ffffff,544716,776600.3301000004,535474,764142.1604000002,345691.0330398006,6292192.415661609,4.459917558341489,2696.113693895226,h3_r7,E23_N419,train
87b2c5465ffffff,149168,224260.01659999997,119284,173569.62960000001,347642.74905581935,6291161.709923349,4.45793362783928,2695.4950324231177,h3_r7,E23_N419,train
87b2c5466ffffff,242360,364310.9803,214896,319772.6024,343598.85424309835,6291013.888258296,4.45998776256547,2696.3645820629317,h3_r7,E22_N419,train
87b2c5468ffffff,245748,380817.82529999997,189425,280748.6062,349312.7049749958,6285715.767914057,4.452124971847143,2694.140931587084,h3_r7,E23_N419,train
87b2c5469ffffff,193269,288967.20910000004,110785,163750.93740000002,351262.7527409131,6284686.671795003,4.4501411431130435,2693.522237824858,h3_r7,E23_N418,validation
87b2c546affffff,55513,85346.5969,43879,65598.034,347221.81734939665,6284537.850857753,4.45219497174239,2694.39148218889,h3_r7,E23_N418,validation
87b2c546bffffff,70648,111946.139,70802,104591.31480000001,349172.2055878848,6283508.925001001,4.450212036284145,2693.7728968765587,h3_r7,E23_N418,validation
87b2c546cffffff,165912,245989.07309999998,167737,245411.44979999997,349453.262376547,6287923.233556269,4.454037385053139,2694.508735499752,h3_r7,E23_N419,train
87b2c546dffffff,207862,309391.7592,189297,275142.1905,351403.5570163403,6286893.650048869,4.452053081968227,2693.889995239151,h3_r7,E23_N419,train
87b2c546effffff,431734,624139.4406,412077,599789.3683000001,347362.0697457934,6286745.181253384,4.454108381706737,2694.759563445521,h3_r7,E23_N419,train
87b2c5470ffffff,10648,18097.0443,9636,14192.359199999999,339414.39069760096,6288656.727552415,4.460122483925843,2696.865198733285,h3_r7,E22_N419,train
87b2c5471ffffff,16107,27069.2441,10878,16321.5314,341367.12827371224,6287626.53220126,4.458141245704151,2696.2468640723964,h3_r7,E22_N419,train
87b2c5472ffffff,22936,36539.7478,19388,28838.450399999998,337322.1068282556,6287478.094406474,4.460187000781099,2697.114926896058,h3_r7,E22_N419,train
87b2c5473ffffff,277,474.69219999999996,35,53.638,339275.184643841,6286448.069347562,4.458206662889669,2696.4967016323353,h3_r7,E22_N419,train
87b2c5474ffffff,103850,165179.14789999998,97309,144653.84730000002,339553.6556063384,6290866.008685637,4.462037778602385,2697.2334641119232,h3_r7,E22_N419,train
87b2c5475ffffff,131808,212126.1202,119377,180518.6652,341506.6399824652,6289835.32552913,4.460056071138828,2696.6150837310124,h3_r7,E22_N419,train
87b2c5476ffffff,607974,851358.8851000001,578112,834561.8555000001,337461.065965089,6289687.240511337,4.462103291107961,2697.4834697671467,h3_r7,E22_N419,train
87b2c5501ffffff,1094,2109.2058,1116,1751.6944999999998,332428.13093216653,6306057.418483882,4.479537980544221,2701.5450700447545,h3_r7,E22_N420,validation
87b2c5503ffffff,4048,7478.8837,4068,6367.089800000001,330332.6516548988,6304877.300252227,4.479604877528921,2701.7960266441805,h3_r7,E22_N420,validation
87b2c5508ffffff,810,1385.5166,665,961.9857000000001,334245.8725115389,6302809.16822415,4.475641716635965,2700.5594935091212,h3_r7,E22_N420,validation
87b2c5509ffffff,79559,123403.25200000001,66521,98347.6042,336201.6029442331,6301775.579689101,4.473659466352996,2699.941128003178,h3_r7,E22_N420,validation
87b2c550affffff,19224,37369.299100000004,12289,17922.7749,332151.03928413684,6301629.353120495,4.475708516674446,2700.810281728336,h3_r7,E22_N420,validation
87b2c550bffffff,11824,19298.9856,10803,15980.6948,334107.11046877666,6300595.934361028,4.47372717068001,2700.1920258997707,h3_r7,E22_N420,validation
87b2c550cffffff,5797,10879.2546,5272,7840.5961,334384.6938229401,6305023.023613647,4.477555718633649,2700.9267267776886,h3_r7,E22_N420,validation
87b2c550dffffff,57296,101524.09820000001,49376,74956.1104,336340.6700759162,6303988.947110945,4.475573009758329,2700.308317471179,h3_r7,E22_N420,validation
87b2c550effffff,2551,4765.3,2738,4358.83,332289.55539009545,6303843.075047433,4.477623521271934,2701.177793185925,h3_r7,E22_N420,validation
87b2c5511ffffff,3435,6371.3122,3414,5205.8596,326279.3060429655,6304731.519584721,4.481649861436096,2702.6646516024484,h3_r7,E21_N420,train
87b2c5518ffffff,1565,2878.2551,1388,2168.149,328099.1723985019,6301483.069095969,4.477753401519888,2701.6787616881193,h3_r7,E21_N420,train
87b2c5519ffffff,1596,2656.6319,1489,2204.2611,330056.17083496053,6300449.501878457,4.4757734097350586,2701.060681955947,h3_r7,E22_N420,validation
87b2c551bffffff,0,0.0,1,1.2103,327961.26760530437,6299269.614576532,4.475836395670724,2701.310694022686,h3_r7,E21_N419,train
87b2c551cffffff,1118,2187.0614,1118,1804.18,328237.13699588197,6303697.145639004,4.479669864767665,2702.0465949661448,h3_r7,E21_N420,train
87b2c551effffff,9359,17505.2334,9515,14834.6518,326141.58739678026,6302516.954722742,4.479732942123722,2702.296774844581,h3_r7,E21_N420,train
87b2c5528ffffff,72275,111366.56920000003,56282,83116.1497,336618.9815750056,6308417.545488445,4.479398457899159,2701.0419927011244,h3_r7,E22_N420,validation
