zone_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass
183,299085,401059.01879999996,339249,464987.98089999997
430,270163,391532.9713,265437,386590.58400000003
465,278452,389352.7885,309289,438621.3623
176,254260,377240.74830000004,165953,235219.3793
704,272728,374414.52450000006,275185,393618.6395
367,254825,356954.8591,268094,382958.17350000003
353,250077,355633.53219999996,265509,380802.2774
307,257250,354640.44019999995,176407,263071.9853
298,254168,353985.48920000007,284993,400789.425
631,251947,346247.1898,279456,405898.1443
236,245198,323797.16959999996,231461,323903.68590000004
256,237871,323058.19470000005,273690,378469.9456
295,226970,319939.4298,249264,360353.0028
658,231634,318843.87389999995,265949,372741.8221
40,228942,316530.0613,209428,301713.8409
309,223515,306832.65249999997,276922,385095.7362
110,212005,301573.5834,280351,399298.23850000004
217,219468,292946.4957,246604,337355.34780000005
622,219225,292000.2281,219119,311297.5235
238,207962,291917.60650000005,262470,370976.05779999995
497,215708,291290.1611,214259,303481.97229999996
461,210937,290344.9989,210342,295328.43940000003
150,205931,286435.8096,179881,251403.0738
434,192979,276928.1511,190842,284404.72559999995
727,191859,274488.5187,210544,302972.9758
364,194902,269996.0431,211024,299923.4632
728,188475,266867.9663,192628,274706.73970000003
375,182503,261312.4319,176070,253187.7589
363,186818,260107.64010000002,197617,279432.6652
765,171832,257422.3631,129694,188205.98299999998
447,181734,254099.2497,192910,274668.5887
224,186123,250821.9107,229314,316822.8019
304,178579,249437.6359,195149,282974.9726
458,173097,241573.42390000005,219589,311268.1976000001
632,169652,226372.392,174096,247275.968
620,159257,220398.6623,155280,220484.2961
426,161589,220232.9593,150208,207817.2591
216,167483,217922.7732,102229,139272.6372
827,152813,212830.66430000003,164234,234301.5467
221,150686,204918.72100000002,186897,257666.4826
440,148746,203775.70179999998,162356,227206.5799
489,146611,199097.6028,152644,218448.0539
11,138943,196125.0885,161955,234505.9025
210,141308,194382.1097,125502,174194.5577
195,131154,194215.5061,113949,158572.627
207,143082,193504.3774,105893,148568.9802
161,136838,188630.107,149312,213437.17760000002
53,130131,186136.67209999997,140792,199160.5593
395,129751,185717.9791,124151,179937.8157
199,131936,185362.5633,16867,24645.9643
109,132832,183592.6177,145330,207549.8977
246,131430,182211.98839999997,176043,244249.5155
189,128003,178048.31629999998,66460,93821.792
242,130352,175496.0195,136152,190094.5173
162,112601,173446.8919,131573,187694.7794
41,126693,173137.7191,129403,185913.5249
460,119769,170713.5556,117640,168779.98640000002
399,121679,170333.23169999997,117666,171333.25919999997
208,121479,168282.4281,147711,204990.8115
450,118957,168262.671,120946,172090.0498
204,114532,166463.777,49587,71470.67749999999
642,110851,166418.4502,107625,151277.1023
560,120190,166404.67849999998,100962,148121.5223
275,112737,165793.22960000002,112999,162306.5487
479,116226,164715.5106,133797,189702.2006
774,114177,164065.62589999998,102758,149062.4383
797,114465,160933.94769999996,118751,172817.6843
239,114509,160840.9531,128865,180459.77529999998
356,109129,159163.65309999997,116786,173253.15399999998
437,111404,158525.26839999997,105771,156968.49079999997
180,121121,157790.6238,128108,179184.86000000002
296,110991,157131.6459,96012,138142.9167
683,105352,152707.9945,80910,116938.10860000002
401,110898,151722.68610000002,117373,166551.3665
35,106574,148712.494,104696,142637.113
277,107380,146784.65710000004,84036,121107.7598
186,111140,145847.72400000002,72604,100076.46440000001
758,107955,144762.79829999997,98992,136997.17620000002
182,103980,143093.6973,95361,130700.4079
151,93319,140265.4443,84356,124391.5928
443,111266,139379.3203,65199,93874.781
629,90932,138402.72049999997,77521,115603.52850000001
289,93955,136191.3871,73491,103507.9846
135,87553,136131.54960000003,76113,113012.4456
725,90588,133040.7802,91964,132890.9597
184,93774,132535.9085,84154,116422.55639999999
48,92019,132160.4261,100136,145808.5881
292,93008,131219.8812,58574,83238.62430000001
771,86930,129950.013,69977,103261.70180000001
411,90214,129343.55539999998,89772,135586.3903
36,89003,126764.17619999999,51811,75123.18400000001
