service_date,day_class,table,field,valid,missing,invalid,zero,negative,min,max,mean,std
2024-11-12,laboral,etapas,tiempo_etapa,3623645,1088648,0,1104,2,-654.0,16750.0,1260.3281623889757,848.833871582527
2024-11-12,laboral,etapas,x_subida,4712293,0,0,0,2660,-1.0,361065.0,346876.6707515853,9982.043534768827
2024-11-12,laboral,etapas,y_subida,4712293,0,0,0,2660,-1.0,6312712.0,6292374.028287714,149684.56812170468
2024-11-12,laboral,etapas,x_bajada,3623645,1088648,0,0,0,325718.0,361070.0,347209.1502887286,5459.199292341133
2024-11-12,laboral,etapas,y_bajada,3623645,1088648,0,0,0,6270159.0,6312658.0,6296129.532059018,6308.381423129668
2024-11-12,laboral,etapas,dist_ruta_paraderos,3623645,1088648,0,49669,16692,-50635.0,53931.0,7719.071165083777,6454.811828249517
2024-11-12,laboral,etapas,dist_eucl_paraderos,3623645,1088648,0,0,0,8.0,6322264.0,15997.607480865261,245698.01752454753
2024-11-13,laboral,viajes,factor_expansion,3600108,0,0,969107,0,0.0,13.3492,1.0000001784668682,0.6175099058095863
2024-11-13,laboral,viajes,n_etapas,3600108,0,0,0,0,1.0,36.0,1.335191610918339,0.5537905857335447
2024-11-13,laboral,viajes,tviaje,0,3600108,0,0,0,,,,
2024-11-13,laboral,viajes,tviaje2,2116609,1483499,0,0,0,35.0,12150.0,1729.3470773298234,1150.5452990520093
2024-11-13,laboral,viajes,distancia_eucl,2635885,964223,0,6,0,0.0,6317174.0,8349.903128941502,52767.61015755283
2024-11-13,laboral,viajes,distancia_ruta,3600108,0,0,1045926,12285,-48237.0,74030.0,7019.775747838676,7732.1975928727115
2024-11-13,laboral,viajes,tiempo_inicio_viaje,0,0,3600108,0,0,,,,
2024-11-13,laboral,viajes,tiempo_fin_viaje,0,964282,2635826,0,0,,,,
2024-11-13,laboral,viajes,netapassinbajada,3600108,0,0,2577263,0,0.0,4.0,0.29173874783756487,0.4714517808448815
2024-11-13,laboral,viajes,ultimaetapaconbajada,3600108,0,0,964223,0,0.0,1.0,0.7321683127283959,0.44282939668099014
2024-11-13,laboral,etapas,fExpansionServicioPeriodoTS,4814084,0,0,692046,0,0.0,175.002,0.9915182003056036,0.5834177269274977
2024-11-13,laboral,etapas,fExpansionZonaPeriodoTS,3755463,1058621,0,0,0,1.0001,11.376,1.2819222463115731,0.14454748287156274
2024-11-13,laboral,etapas,tiempo2,0,0,4814084,0,0,,,,
2024-11-13,laboral,etapas,tiempo_subida,0,0,4814084,0,0,,,,
2024-11-13,laboral,etapas,tiempo_bajada,0,1052944,3761140,0,0,,,,
2024-11-13,laboral,etapas,tiempo_etapa,3761140,1052944,0,928,0,0.0,8396.0,1247.764719473351,843.9241568275445
2024-11-13,laboral,etapas,x_subida,4814084,0,0,0,838,-1.0,361048.0,347026.69393762137,7270.7668746963855
2024-11-13,laboral,etapas,y_subida,4814084,0,0,0,838,-1.0,6312653.0,6294864.648165674,83316.7325809693
2024-11-13,laboral,etapas,x_bajada,3761140,1052944,0,0,0,325718.0,361070.0,347205.41341109347,5500.784997160992
2024-11-13,laboral,etapas,y_bajada,3761140,1052944,0,0,0,6270159.0,6312634.0,6296167.302387308,6312.133023367576
2024-11-13,laboral,etapas,dist_ruta_paraderos,3761140,1052944,0,48349,16588,-49944.0,52422.0,7619.453625230648,6412.513791549842
2024-11-13,laboral,etapas,dist_eucl_paraderos,3761140,1052944,0,0,0,8.0,6322264.0,15838.902196408535,244689.9247771328
2024-11-14,laboral,viajes,factor_expansion,3633098,0,0,978321,0,0.0,13.3105,0.999999669785951,0.6174109531117662
2024-11-14,laboral,viajes,n_etapas,3633098,0,0,0,0,1.0,22.0,1.34317846642177,0.559534395910146
2024-11-14,laboral,viajes,tviaje,0,3633098,0,0,0,,,,
2024-11-14,laboral,viajes,tviaje2,2141670,1491428,0,0,0,35.0,13321.0,1743.6708040921337,1158.5722220371595
2024-11-14,laboral,viajes,distancia_eucl,2659882,973216,0,6,0,0.0,6319577.0,8696.864413277166,71521.95400700264
2024-11-14,laboral,viajes,distancia_ruta,3633098,0,0,1053954,12413,-48115.0,68320.0,7012.397877513901,7729.379380670654
2024-11-14,laboral,viajes,tiempo_inicio_viaje,0,0,3633098,0,0,,,,
2024-11-14,laboral,viajes,tiempo_fin_viaje,0,973262,2659836,0,0,,,,
2024-11-14,laboral,viajes,netapassinbajada,3633098,0,0,2601364,0,0.0,4.0,0.2915935656015885,0.47135201605398075
2024-11-14,laboral,viajes,ultimaetapaconbajada,3633098,0,0,973216,0,0.0,1.0,0.7321250348875807,0.44285208385920394
2024-11-14,laboral,etapas,fExpansionServicioPeriodoTS,4887839,0,0,694134,0,0.0,149.4398,0.9914157259066838,0.5719316857169375
2024-11-14,laboral,etapas,fExpansionZonaPeriodoTS,3819740,1068099,0,0,0,1.0003,10.2039,1.2797017575279985,0.15289137780791087
2024-11-14,laboral,etapas,tiempo2,0,0,4887839,0,0,,,,
2024-11-14,laboral,etapas,tiempo_subida,0,0,4887839,0,0,,,,
2024-11-14,laboral,etapas,tiempo_bajada,0,1062332,3825507,0,0,,,,
2024-11-14,laboral,etapas,tiempo_etapa,3825507,1062332,0,938,1,-19.0,18780.0,1244.9907207070853,847.0880886119526
2024-11-14,laboral,etapas,x_subida,4887839,0,0,0,1572,-1.0,361064.0,346956.4189710422,8415.729745060227
2024-11-14,laboral,etapas,y_subida,4887839,0,0,0,1572,-1.0,6312651.0,6293908.772782205,113081.27310427139
2024-11-14,laboral,etapas,x_bajada,3825507,1062332,0,0,0,325720.0,361067.0,347196.44776600855,5521.850243466142
2024-11-14,laboral,etapas,y_bajada,3825507,1062332,0,0,0,6270142.0,6312659.0,6296141.023285802,6337.964818383146
2024-11-14,laboral,etapas,dist_ruta_paraderos,3825507,1062332,0,47038,17470,-48220.0,55553.0,7556.311064128232,6384.53460066485
2024-11-14,laboral,etapas,dist_eucl_paraderos,3825507,1062332,0,0,0,7.0,6322264.0,15954.37807014861,246864.33580605607
2024-11-15,laboral,viajes,factor_expansion,3615172,0,0,1069480,0,0.0,13.3124,0.9999989638943875,0.6635424492082255
2024-11-15,laboral,viajes,n_etapas,3615172,0,0,0,0,1.0,79.0,1.3344756487381513,0.558312459086842
2024-11-15,laboral,viajes,tviaje,0,3615172,0,0,0,,,,
2024-11-15,laboral,viajes,tviaje2,2045630,1569542,0,0,0,35.0,13057.0,1722.127050835195,1153.0658948264104
2024-11-15,laboral,viajes,distancia_eucl,2550601,1064571,0,8,0,0.0,6317735.0,8281.891166671567,57953.00988421205
2024-11-15,laboral,viajes,distancia_ruta,3615172,0,0,1144720,12216,-48219.0,70074.0,6639.665774131909,7621.774056843393
2024-11-15,laboral,viajes,tiempo_inicio_viaje,0,0,3615172,0,0,,,,
2024-11-15,laboral,viajes,tiempo_fin_viaje,0,1064649,2550523,0,0,,,,
2024-11-15,laboral,viajes,netapassinbajada,3615172,0,0,2493741,0,0.0,4.0,0.318686635103392,0.4842748665348369
2024-11-15,laboral,viajes,ultimaetapaconbajada,3615172,0,0,1064571,0,0.0,1.0,0.7055268739633965,0.45580555512063925
2024-11-15,laboral,etapas,fExpansionServicioPeriodoTS,4832617,0,0,714956,0,0.0,142.0,0.9917962041477728,0.5842695413649877
2024-11-15,laboral,etapas,fExpansionZonaPeriodoTS,3672458,1160159,0,0,0,1.0001,24.2363,1.316179152872545,0.15869326280171386
2024-11-15,laboral,etapas,tiempo2,0,0,4832617,0,0,,,,
2024-11-15,laboral,etapas,tiempo_subida,0,0,4832617,0,0,,,,
2024-11-15,laboral,etapas,tiempo_bajada,0,1155063,3677554,0,0,,,,
2024-11-15,laboral,etapas,tiempo_etapa,3677554,1155063,0,1042,2,-27.0,11293.0,1238.6036920192062,845.6336829719322
2024-11-15,laboral,etapas,x_subida,4832617,0,0,0,1152,-1.0,361066.0,346948.0134517178,7795.595756175089
2024-11-15,laboral,etapas,y_subida,4832617,0,0,0,1152,-1.0,6312630.0,6294402.066603871,97415.73625178103
2024-11-15,laboral,etapas,x_bajada,3677554,1155063,0,0,0,325720.0,361074.0,347167.2606561318,5498.124960763213
2024-11-15,laboral,etapas,y_bajada,3677554,1155063,0,0,0,6270156.0,6312594.0,6296110.865684909,6319.857845513616
2024-11-15,laboral,etapas,dist_ruta_paraderos,3677554,1155063,0,47578,16752,-49935.0,54476.0,7473.566471627609,6358.513274616744
2024-11-15,laboral,etapas,dist_eucl_paraderos,3677554,1155063,0,0,0,7.0,6322264.0,16009.326147216329,248515.6668379373
2024-11-16,sabado,viajes,factor_expansion,2051573,0,0,757462,0,0.0,17.5513,0.9999996239958314,0.7849499556354806
2024-11-16,sabado,viajes,n_etapas,2051573,0,0,0,0,1.0,138.0,1.2945208384005833,0.5393423317089747
2024-11-16,sabado,viajes,tviaje,0,2051573,0,0,0,,,,
2024-11-16,sabado,viajes,tviaje2,1034067,1017506,0,0,0,35.0,11580.0,1652.7982674236775,1080.6425974009267
2024-11-16,sabado,viajes,distancia_eucl,1297397,754176,0,5,0,0.0,6321549.5,7689.254341687014,38669.94859548265
2024-11-16,sabado,viajes,distancia_ruta,2051573,0,0,798643,2113,-48223.0,63274.0,5749.450856489143,7185.676496156332
2024-11-16,sabado,viajes,tiempo_inicio_viaje,0,0,2051573,0,0,,,,
2024-11-16,sabado,viajes,tiempo_fin_viaje,0,754223,1297350,0,0,,,,
2024-11-16,sabado,viajes,netapassinbajada,2051573,0,0,1269056,0,0.0,4.0,0.3909731703429515,0.5075427681456187
2024-11-16,sabado,viajes,ultimaetapaconbajada,2051573,0,0,754176,0,0.0,1.0,0.6323913406932145,0.48215405516230314
2024-11-16,sabado,etapas,fExpansionServicioPeriodoTS,2661105,0,0,434096,0,0.0,76.7723,0.9955622708235864,0.6471385418489743
2024-11-16,sabado,etapas,fExpansionZonaPeriodoTS,1853260,807845,0,0,0,1.0002,17.2923,1.4364117796747353,0.1857551366452309
2024-11-16,sabado,etapas,tiempo2,0,0,2661105,0,0,,,,
2024-11-16,sabado,etapas,tiempo_subida,0,0,2661105,0,0,,,,
2024-11-16,sabado,etapas,tiempo_bajada,0,804033,1857072,0,0,,,,
2024-11-16,sabado,etapas,tiempo_etapa,1857072,804033,0,28,0,0.0,17107.0,1192.8289673205993,802.8745853047549
2024-11-16,sabado,etapas,x_subida,2661105,0,0,0,300,-1.0,361064.0,346767.32085355517,6708.673994862781
2024-11-16,sabado,etapas,y_subida,2661105,0,0,0,300,-1.0,6312617.0,6295095.421481677,67153.7850495739
2024-11-16,sabado,etapas,x_bajada,1857072,804033,0,0,0,325722.0,361081.0,346940.49508096615,5453.09042820121
2024-11-16,sabado,etapas,y_bajada,1857072,804033,0,0,0,6270165.0,6312641.0,6296043.121721183,6167.8219704669655
2024-11-16,sabado,etapas,dist_ruta_paraderos,1857072,804033,0,34834,3374,-48232.0,54217.0,7403.316892398356,6191.977431747727
2024-11-16,sabado,etapas,dist_eucl_paraderos,1857072,804033,0,0,0,7.0,6321533.0,20989.919273458432,306072.5229783554
2024-11-17,domingo,viajes,factor_expansion,1191391,0,0,505448,0,0.0,11.0083,0.9999999279833405,0.8927376560948913
2024-11-17,domingo,viajes,n_etapas,1191391,0,0,0,0,1.0,6.0,1.285440296258743,0.521230866994359
2024-11-17,domingo,viajes,tviaje,0,1191391,0,0,0,,,,
2024-11-17,domingo,viajes,tviaje2,544669,646722,0,0,0,35.0,10904.0,1629.8342608079402,1078.9114627600122
2024-11-17,domingo,viajes,distancia_eucl,688254,503137,0,2,0,0.0,6315290.0,8094.833316653282,70989.39675362426
2024-11-17,domingo,viajes,distancia_ruta,1191391,0,0,524704,0,0.0,54317.0,5181.588799982542,6976.744765373199
2024-11-17,domingo,viajes,tiempo_inicio_viaje,0,0,1191391,0,0,,,,
2024-11-17,domingo,viajes,tiempo_fin_viaje,0,503161,688230,0,0,,,,
2024-11-17,domingo,viajes,netapassinbajada,1191391,0,0,674410,0,0.0,4.0,0.4433590651599685,0.5157238276330095
2024-11-17,domingo,viajes,ultimaetapaconbajada,1191391,0,0,503137,0,0.0,1.0,0.5776894403264755,0.49392747530559483
2024-11-17,domingo,etapas,fExpansionServicioPeriodoTS,1534904,0,0,281991,0,0.0,144.7383,0.9971322138713562,0.714290652404181
2024-11-17,domingo,etapas,fExpansionZonaPeriodoTS,1002630,532274,0,0,0,1.0004,19.3342,1.5309959340933346,0.2168652711023679
2024-11-17,domingo,etapas,tiempo2,0,0,1534904,0,0,,,,
2024-11-17,domingo,etapas,tiempo_subida,0,0,1534904,0,0,,,,
2024-11-17,domingo,etapas,tiempo_bajada,0,529212,1005692,0,0,,,,
2024-11-17,domingo,etapas,tiempo_etapa,1005692,529212,0,10,0,0.0,9375.0,1144.5399257426727,789.4212713076147
2024-11-17,domingo,etapas,x_subida,1534904,0,0,0,581,-1.0,362142.0,346615.75249592157,8804.28972368957
2024-11-17,domingo,etapas,y_subida,1534904,0,0,0,581,-1.0,6312613.0,6293242.706367956,122634.80287884355
2024-11-17,domingo,etapas,x_bajada,1005692,529212,0,0,0,325725.0,361073.0,346951.98001575033,5567.313674516716
2024-11-17,domingo,etapas,y_bajada,1005692,529212,0,0,0,6270291.0,6312586.0,6295826.843896541,6247.523318033715
2024-11-17,domingo,etapas,dist_ruta_paraderos,1005692,529212,0,16429,0,0.0,54231.0,7366.00373573619,6120.289911464296
2024-11-17,domingo,etapas,dist_eucl_paraderos,1005692,529212,0,0,0,11.0,6321330.0,25623.31593569403,350764.0891398986
2024-11-18,laboral,viajes,factor_expansion,3558808,0,0,983933,0,0.0,11.0036,1.000000449757335,0.6297720053893842
2024-11-18,laboral,viajes,n_etapas,3558808,0,0,0,0,1.0,43.0,1.3433045559074837,0.5611395599414282
2024-11-18,laboral,viajes,tviaje,0,3558808,0,0,0,,,,
2024-11-18,laboral,viajes,tviaje2,2075282,1483526,0,0,0,35.0,14433.0,1743.3818589473624,1158.2975831986632
2024-11-18,laboral,viajes,distancia_eucl,2580555,978253,0,9,0,0.0,6319933.0,8492.507569274732,63098.48569505279
2024-11-18,laboral,viajes,distancia_ruta,3558808,0,0,1057819,12793,-49664.0,81269.0,6916.173533666329,7717.622062428484
2024-11-18,laboral,viajes,tiempo_inicio_viaje,0,0,3558808,0,0,,,,
2024-11-18,laboral,viajes,tiempo_fin_viaje,0,978300,2580508,0,0,,,,
2024-11-18,laboral,viajes,netapassinbajada,3558808,0,0,2521547,0,0.0,4.0,0.2993527608120472,0.4753337538943307
2024-11-18,laboral,viajes,ultimaetapaconbajada,3558808,0,0,978253,0,0.0,1.0,0.7251177922495398,0.4464549021040009
2024-11-18,laboral,etapas,fExpansionServicioPeriodoTS,4787836,0,0,704300,0,0.0,178.3213,0.9913633776929704,0.5842052812386296
2024-11-18,laboral,etapas,fExpansionZonaPeriodoTS,3712916,1074920,0,0,0,1.0002,15.187,1.2895511786154064,0.15209699136700625
2024-11-18,laboral,etapas,tiempo2,0,0,4787836,0,0,,,,
2024-11-18,laboral,etapas,tiempo_subida,0,0,4787836,0,0,,,,
2024-11-18,laboral,etapas,tiempo_bajada,0,1068306,3719530,0,0,,,,
2024-11-18,laboral,etapas,tiempo_etapa,3719530,1068306,0,1033,0,0.0,15512.0,1243.25163206104,851.9686005611177
2024-11-18,laboral,etapas,x_subida,4787836,0,0,0,1200,-1.0,361068.0,346914.3724469677,7891.711912969034
2024-11-18,laboral,etapas,y_subida,4787836,0,0,0,1200,-1.0,6312651.0,6294304.559990568,99878.00690158375
2024-11-18,laboral,etapas,x_bajada,3719530,1068306,0,0,0,325718.0,361071.0,347151.1049815434,5529.528835880624
