service_date,day_class,table,field,empty,dash
2024-11-15,laboral,viajes,periodo_inicio_viaje,0,0
2024-11-15,laboral,viajes,periodo_fin_viaje,0,0
2024-11-15,laboral,viajes,comuna_inicio_viaje,0,0
2024-11-15,laboral,viajes,comuna_fin_viaje,0,0
2024-11-15,laboral,viajes,zona_inicio_viaje,0,1321
2024-11-15,laboral,viajes,zona_fin_viaje,0,1068838
2024-11-15,laboral,viajes,netapassinbajada,0,0
2024-11-15,laboral,viajes,ultimaetapaconbajada,0,0
2024-11-15,laboral,viajes,tipo_corte_etapa_viaje,0,0
2024-11-15,laboral,viajes,id_tarjeta,0,0
2024-11-15,laboral,viajes,id_viaje,0,0
2024-11-15,laboral,etapas,tipo_dia,0,0
2024-11-15,laboral,etapas,tipo_transporte,0,0
2024-11-15,laboral,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-15,laboral,etapas,fExpansionZonaPeriodoTS,0,1160159
2024-11-15,laboral,etapas,tiene_bajada,0,0
2024-11-15,laboral,etapas,tiempo2,0,0
2024-11-15,laboral,etapas,tiempo_subida,0,0
2024-11-15,laboral,etapas,tiempo_bajada,0,1155063
2024-11-15,laboral,etapas,tiempo_etapa,0,1155063
2024-11-15,laboral,etapas,x_subida,0,0
2024-11-15,laboral,etapas,y_subida,0,0
2024-11-15,laboral,etapas,x_bajada,0,1155063
2024-11-15,laboral,etapas,y_bajada,0,1155063
2024-11-15,laboral,etapas,dist_ruta_paraderos,0,1155063
2024-11-15,laboral,etapas,dist_eucl_paraderos,0,1155063
2024-11-15,laboral,etapas,comuna_subida,0,1728
2024-11-15,laboral,etapas,comuna_bajada,0,1160288
2024-11-15,laboral,etapas,zona_subida,0,1807
2024-11-15,laboral,etapas,zona_bajada,0,1160332
2024-11-15,laboral,etapas,periodoSubida,0,0
2024-11-15,laboral,etapas,periodoBajada,0,1155063
2024-11-15,laboral,etapas,id_etapa,0,0
2024-11-15,laboral,etapas,correlativo_viajes,0,0
2024-11-16,sabado,viajes,tipodia,0,0
